"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\core\app_routes.dart", "Dart", 1, 0, 0, 1
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\main.dart", "Dart", -1, 1, 0, 0
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding\onboarding_screen.dart", "Dart", -230, -22, -18, -270
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding\page_view_items.dart", "Dart", 0, -49, 0, -49
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_correct\indicator_builder.dart", "Dart", 48, 0, 8, 56
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_correct\onboarding_screen.dart", "Dart", 88, 49, 21, 158
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_correct\onboarding_widget.dart", "Dart", 92, 12, 8, 112
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_wrong\onboarding_screen.dart", "Dart", 0, 252, 18, 270
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_wrong\page_view_items.dart", "Dart", 0, 49, 0, 49
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\splash_screen.dart", "Dart", 16, 1, 0, 17
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\styles\text_size.dart", "Dart", 2, 0, 2, 4
"Total", "-", 16, 293, 39, 348
