"filename", "language", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\core\app.dart", "Dart", 0, 0, 25, 3, 28
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\core\app_routes.dart", "Dart", 351, 0, 96, 50, 497
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\core\extentions.dart", "Dart", 225, 0, 39, 41, 305
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\discount\discount.dart", "Dart", 64, 0, 4, 16, 84
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\discount\discount.g.dart", "Dart", 29, 0, 4, 5, 38
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\plan\plan.dart", "Dart", 95, 0, 2, 17, 114
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\plan\plan.g.dart", "Dart", 25, 0, 4, 5, 34
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\transaction\sales\sale.dart", "Dart", 23, 0, 10, 7, 40
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\transaction\sales\sale.g.dart", "Dart", 17, 0, 4, 5, 26
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\transaction\transaction_model.dart", "Dart", 76, 0, 12, 11, 99
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\transaction\wallet_model.dart", "Dart", 68, 0, 11, 10, 89
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\user\user.dart", "Dart", 161, 0, 13, 25, 199
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\user\user.g.dart", "Dart", 103, 0, 4, 13, 120
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\wallet\wallet.dart", "Dart", 63, 0, 19, 13, 95
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\data\wallet\wallet.g.dart", "Dart", 55, 0, 4, 9, 68
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\domain\app_shared_prefs.dart", "Dart", 51, 0, 3, 22, 76
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\domain\providers\app_api_provider.dart", "Dart", 202, 0, 81, 47, 330
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\domain\providers\auth_api_provider.dart", "Dart", 416, 0, 217, 82, 715
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\domain\providers\local_notification_service.dart", "Dart", 0, 0, 140, 19, 159
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\domain\providers\response\responses.dart", "Dart", 21, 0, 2, 8, 31
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\domain\providers\response\responses.g.dart", "Dart", 17, 0, 4, 5, 26
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\domain\repositories\app_repo.dart", "Dart", 58, 0, 321, 119, 498
